Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,application_method (product.metafields.custom.application_method),backing_plate_thread (product.metafields.custom.backing_plate_thread),badge_text (product.metafields.custom.badge_text),biodegradable (product.metafields.custom.biodegradable),brand (product.metafields.custom.brand),compatible_chemicals (product.metafields.custom.compatible_chemicals),concentrate_or_rtu (product.metafields.custom.concentrate_or_rtu),coverage (product.metafields.custom.coverage),delivery_format (product.metafields.custom.delivery_format),dilution_ratio (product.metafields.custom.dilution_ratio),featured_collection_slot (product.metafields.custom.featured_collection_slot),fit_type (product.metafields.custom.fit_type),fragrance_family (product.metafields.custom.fragrance_family),intensity_level (product.metafields.custom.intensity_level),material_composition (product.metafields.custom.material_composition),orbit_size (product.metafields.custom.orbit_size),pad_cut_level (product.metafields.custom.pad_cut_level),pad_diameter (product.metafields.custom.pad_diameter),pad_material (product.metafields.custom.pad_material),pad_size_compatibility (product.metafields.custom.pad_size_compatibility),ph_level (product.metafields.custom.ph_level),power_source (product.metafields.custom.power_source),pro_tip (product.metafields.custom.pro_tip),psi_rating (product.metafields.custom.psi_rating),recommended_pairing (product.metafields.custom.recommended_pairing),related_products (product.metafields.custom.related_products),reviews (product.metafields.custom.reviews),safe_surfaces (product.metafields.custom.safe_surfaces),scent (product.metafields.custom.scent),sds_url (product.metafields.custom.sds_url),size_guide_url (product.metafields.custom.size_guide_url),snippet (product.metafields.custom.snippet),tank_capacity (product.metafields.custom.tank_capacity),use_case (product.metafields.custom.use_case),video_url (product.metafields.custom.video_url),Color (product.metafields.shopify.color-pattern),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
ik-multi-pro-12,IK Multi Pro 12,"<p>RCP's IK Multi PRO 12 is a professional-grade sprayer built for detailers and cleaning pros who demand performance, comfort, and safety across a wide range of jobs, from automotive detailing to industrial cleaning, disinfection services, and HVAC maintenance. Engineered to handle even the most aggressive chemicals, its heavy-duty construction and high resistance to acids make it a trusted choice for tough applications where standard sprayers fall short. Smooth pressurization and an ergonomic design keep it safe and easy to operate, even during extended use, while delivering consistent spray performance for reliable results every time. Whether you're applying wheel cleaners, degreasers, or disinfectants, the IK Multi PRO 12 gives you the durability and versatility to get the job done right. Paired with RCP's lineup of cleaners and detailing chemicals, this sprayer takes your professional workflow to the next level.</p>",RCP America,Home & Garden > Lawn & Garden > Gardening > Gardening Tools > Lawn & Garden Sprayers,Equipment,Equipment,TRUE,Title,Default Title,,,,,,,,'82671,0,shopify,10,deny,manual,153.39,,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0970/7215/2886/files/11b072_20b016815efe492d9400a1ae78abcd53_mv2.png?v=1781634035,1,IK Multi Pro 12,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pressurized Multi-Purpose Sprayer,,,,,,g,,,active
ik-foam-pro-2,IK Foam PRO 2L,"<p>RCP's IK Foam PRO 2L is a compact, professional-grade foaming sprayer designed to deliver thick, clinging foam for detailing, cleaning, and surface-prep applications. Ideal for applying snow foam, pre-wash treatments, wheel cleaners, and other detailing chemicals, its 2-liter capacity makes it perfect for quick jobs and precise, targeted work. Simply pressurize, dial in your foam, and apply an even blanket of suds that lifts dirt and grime so it can be rinsed away safely. Built for comfort and reliable performance, the IK Foam PRO 2L gives detailers and enthusiasts the control they need for a thorough, scratch-free wash. Paired with RCP's car wash soaps and pre-wash products, this foamer takes your detailing experience to the next level.</p>",RCP America,Home & Garden > Lawn & Garden > Gardening > Gardening Tools > Lawn & Garden Sprayers,Equipment,Equipment,TRUE,Title,Default Title,,,,,,,,'81676,0,shopify,10,deny,manual,57.19,,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0970/7215/2886/files/11b072_81a809f278834bdc938f70db55b7793b_mv2.png?v=1781634033,1,IK FOAM Pro 2,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Handheld Pressure Foam Sprayer,,,,,,g,,,active
extractor-solution,Extractor Solution,"<p>RCP's Extractor Solution delivers a powerful, non-foaming deep clean that is perfect for auto detailing, refreshing furniture, and maintaining high-traffic areas. Engineered with a balanced blend of cleaning and deodorizing agents, it penetrates deep into carpet and upholstery fibers to lift stains, remove grime, and eliminate odors at the source while staying gentle on fabrics. Because of its non-foaming formula, it runs smoothly through all carpet and upholstery extractor machines, keeping your equipment performing at its best. Tough on dirt yet easy to use, Extractor Solution leaves carpets and upholstery looking fresh, renewed, and revitalized. Paired with a quality extractor and your favorite RCP interior products, it is the go-to choice for a professional-quality clean every time.</p>",RCP America,Home & Garden > Household Supplies > Household Cleaning Supplies > Household Cleaning Products > Carpet Cleaners,All Purpose Cleaners,"ALL PURPOSE, All Purpose Cleaners",TRUE,Size,1 Gallon,,,,,,,,'1501,4536,shopify,10,deny,manual,19.99,,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0970/7215/2886/files/ExtractorSolution1Gallon.png?v=1782403490,1,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0970/7215/2886/files/ExtractorSolution1Gallon.png?v=1782403490,g,,,active
extractor-solution,,,,,,,,,5 Gallons,,,,,,,,'1505,22680,shopify,10,deny,manual,68.99,,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0970/7215/2886/files/11b072_77b682f6306a4885b44787d4a5e888bd_mv2.png?v=1781634363,2,EXTRACTOR SOLUTION - image 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0970/7215/2886/files/11b072_ff67a4314f7048698afab40d5b25b1cd_mv2_aa54a34c-f98b-457e-9003-e27e5b9fd630.png?v=1781634362,g,,,
extractor-solution,,,,,,,,,55 Gallons,,,,,,,,,249476,shopify,10,deny,manual,33.99,,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0970/7215/2886/files/11b072_ff67a4314f7048698afab40d5b25b1cd_mv2_aa54a34c-f98b-457e-9003-e27e5b9fd630.png?v=1781634362,3,EXTRACTOR SOLUTION - image 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,
extractor-solution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0970/7215/2886/files/11b072_20698b6ff02c459bba6374586d8edcac_mv2_9a0ece1b-0926-4b75-9ed1-8fa18fb267fa.png?v=1781634362,4,EXTRACTOR SOLUTION - image 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bleach,Bleach,"<p>RCP's Bleach is a versatile, industrial-strength solution used to whiten fabrics, brighten surfaces, and lift away tough stains in both commercial and everyday cleaning applications. Ideal for removing color from fabric or fiber and tackling stubborn marks, it is a dependable staple for detail shops, facilities, and households alike. For best results, dilute with water in a plastic container or bucket, always test colorfastness in a hidden area first, and be sure to rinse thoroughly after use. Because of its strength, Bleach should always be used with caution and handled responsibly during every application. Available in 1-gallon and 5-gallon sizes and paired with the rest of RCP's cleaners and detergents, it gives you reliable cleaning power whenever you need it.</p>",RCP America,Home & Garden > Household Supplies > Laundry Supplies > Bleach,Cleaners /Detergents,Cleaners /Detergents,TRUE,Size,1 Gallon,,,,,,,,'990401,4536,shopify,10,deny,manual,12.99,,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0970/7215/2886/files/Bleach1Gallon.png?v=1782402226,1,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0970/7215/2886/files/Bleach1Gallon.png?v=1782402226,g,,,active
bleach,,,,,,,,,5 Gallons,,,,,,,,'990405,22680,shopify,10,deny,manual,32.99,,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0970/7215/2886/files/11b072_b25eafe3a1224d7d8e9f03d22fe0e92d_mv2_8dfc83ff-fc19-46dd-907f-3a012726bf26.png?v=1781634360,2,BLEACH - image 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0970/7215/2886/files/11b072_bf9779d142d140abb90e0b608354caf9_mv2.png?v=1781634359,g,,,
bleach,,,,,,,,,55 Gallons,,,,,,,,,249476,shopify,10,deny,manual,14.99,,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0970/7215/2886/files/11b072_bf9779d142d140abb90e0b608354caf9_mv2.png?v=1781634359,3,BLEACH - image 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,
bleach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0970/7215/2886/files/11b072_b7fffecf274141a9b99b1d6b129c0a2d_mv2.png?v=1781634360,4,BLEACH - image 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
