Handle,Title,Change_Type,Description,SKU_or_MPN,Price
kannonball,Kannonball,Added,KANNONBALL- 16 OZ,3200-16,9.99
kannonball,Kannonball,Added,KANNONBALL- 32 OZ,3200-32,15.99
kannonball,Kannonball,Added,KANNONBALL- 15 GAL,3215,154.99
kannonball,Kannonball,Added,KANNONBALL- 30 GAL,3230,361.99
kannonball,Kannonball,Added,KANNONBALL- 250 GAL,3255-T250,2499.99
impressive,Impressive Compound,Added,IMPRESSIVE COMPOUND- 1 GAL,75,145.99
microfiber-towel-cleaner,Microfiber Towel Cleaner,Added,MICROFIBER TOWEL CLEANER- 16 OZ,1700-16,7.99
microfiber-towel-cleaner,Microfiber Towel Cleaner,Added,MICROFIBER TOWEL CLEANER- 32 OZ,1700-32,12.99
microfiber-towel-cleaner,Microfiber Towel Cleaner,Added,MICROFIBER TOWEL CLEANER- 1 GAL,-1701,19.99
microfiber-towel-cleaner,Microfiber Towel Cleaner,Added,MICROFIBER TOWEL CLEANER- 30 GAL,1730,296.99
microfiber-towel-cleaner,Microfiber Towel Cleaner,Added,MICROFIBER TOWEL CLEANER- 55 GAL,1755,472.99
reclaim-safe,Reclaim Safe,Added,RECLAIM SAFE- 16 OZ,RCP-RCS-0016,7.99
reclaim-safe,Reclaim Safe,Added,RECLAIM SAFE- 32 OZ,RCP-RCS-0032,11.99
reclaim-safe,Reclaim Safe,Added,RECLAIM SAFE- 5 GAL,RCP-RCS-05,79.99
reclaim-safe,Reclaim Safe,Added,RECLAIM SAFE- 55 GAL,RCP-RCS-55,499.99
breakthrough,Breakthrough,Added,BREAKTHROUGH - 16 OZ,2400-16,18.99
breakthrough,Breakthrough,Added,BREAKTHROUGH- 30 GAL,2430,1000.99
breakthrough,Breakthrough,Added,BREAKTHROUGH - 55 GAL,2455,1899.99
breakthrough,Breakthrough,Added,BREAKTHROUGH- 250 GAL,2455-T,9999.99
tint-remover,Tint Remover,Added,TINT REMOVER- 16 OZ,8400-16,8.99
tint-remover,Tint Remover,Added,TINT REMOVER- 32 OZ,8400-32,14.99
tint-remover,Tint Remover,Added,TINT REMOVER- 55 GAL,8455,499.99
swirl-remover,Swirl Remover,Added,SWIRL REMOVER- 32 OZ,7232,19.99
banana-wax,Banana WAX,Added,BANANA WAX- 32 OZ,6232,22.99
