Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,application_method (product.metafields.custom.application_method),backing_plate_thread (product.metafields.custom.backing_plate_thread),badge_text (product.metafields.custom.badge_text),biodegradable (product.metafields.custom.biodegradable),brand (product.metafields.custom.brand),compatible_chemicals (product.metafields.custom.compatible_chemicals),concentrate_or_rtu (product.metafields.custom.concentrate_or_rtu),coverage (product.metafields.custom.coverage),delivery_format (product.metafields.custom.delivery_format),dilution_ratio (product.metafields.custom.dilution_ratio),featured_collection_slot (product.metafields.custom.featured_collection_slot),fit_type (product.metafields.custom.fit_type),fragrance_family (product.metafields.custom.fragrance_family),intensity_level (product.metafields.custom.intensity_level),material_composition (product.metafields.custom.material_composition),orbit_size (product.metafields.custom.orbit_size),pad_cut_level (product.metafields.custom.pad_cut_level),pad_diameter (product.metafields.custom.pad_diameter),pad_material (product.metafields.custom.pad_material),pad_size_compatibility (product.metafields.custom.pad_size_compatibility),ph_level (product.metafields.custom.ph_level),power_source (product.metafields.custom.power_source),pro_tip (product.metafields.custom.pro_tip),psi_rating (product.metafields.custom.psi_rating),recommended_pairing (product.metafields.custom.recommended_pairing),related_products (product.metafields.custom.related_products),reviews (product.metafields.custom.reviews),safe_surfaces (product.metafields.custom.safe_surfaces),scent (product.metafields.custom.scent),sds_url (product.metafields.custom.sds_url),size_guide_url (product.metafields.custom.size_guide_url),snippet (product.metafields.custom.snippet),tank_capacity (product.metafields.custom.tank_capacity),use_case (product.metafields.custom.use_case),video_url (product.metafields.custom.video_url),Color (product.metafields.shopify.color-pattern),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
kannonball,Kannonball,"<p>Kannonball Foam Cannon Car Wash Soap:</p><p> </p><p>KANNONBALL is a highly concentrated foam cannon soap that is specifically formulated to lay a thick layer of foam that will break down dirt and lubricate the surface to remove dirt and debris without leaving swirls or scratches caused by friction.</p><p> </p><p>When using a two step wash system, KANNONBALL is ideal for ceramic maintenance washes and will also rinse off spot-free to leave behind a superior UV resistant finish with a rich, long lasting shine. Suitable for cleaning ceramic, porcelain, and other surfaces. Kannonball is ideal for cleaning in professional and industrial settings, providing a durable, high-gloss finish with long-lasting results.</p><p> </p><ul>	<li>Ideal for foam guns/cannons </li>	<li>Formulated to remove dirt &amp; debris</li>	<li>Leaves a protective finish &amp; rinses residue-free</li>	<li>Non-toxic, drain-safe &amp; biodegradable</li>	<li>Ph Balanced Formula</li>
</ul><p> </p><p>1g Barcode: 809555958190 , SKU: 3201</p><p>5g Barcode: 00003205 , SKU: 3205</p><p>55g Barcode: 00003255 , SKU: 3255</p>",RCP America,"Vehicles & Parts > Vehicle Parts & Accessories > Vehicle Maintenance, Care & Decor > Vehicle Cleaning > Car Wash Solutions > Car Shampoo",Best Sellers,"Best Sellers, Car Wash Soaps, Featured Products",TRUE,Size,16oz,,,,,,,,3200-16,4536,shopify,0,deny,manual,9.99,,TRUE,TRUE,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,active
kannonball,,,,,,,,,32oz,,,,,,,,3200-32,4536,shopify,0,deny,manual,15.99,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,active
kannonball,,,,,,,,,15 Gallon,,,,,,,,3215,4536,shopify,0,deny,manual,154.99,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,active
kannonball,,,,,,,,,30 Gallon,,,,,,,,3230,4536,shopify,0,deny,manual,361.99,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,active
kannonball,,,,,,,,,250 Gallon,,,,,,,,3255-T250,4536,shopify,0,deny,manual,2499.99,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,active
impressive,Impressive Compound,"<p><strong>IMPRESSIVE</strong> is a modern, fast-acting paint leveling compound engineered for professional-grade correction results. Designed to efficiently remove <strong>1000 grit or finer sand scratches</strong>, it delivers powerful cutting ability while maintaining control and finish quality throughout the process.</p><p> </p><p>This advanced formulation is built to produce a <strong>high-gloss, haze-free finish</strong> with minimal effort. It reduces compounding dust, wipes off easily, and helps eliminate excessive swirling—making it a reliable choice for both production environments and precision detail work.</p><p> </p><p>Balanced for performance and refinement, IMPRESSIVE bridges the gap between heavy defect removal and finish quality, allowing technicians to correct paint efficiently without sacrificing clarity.</p><p>It is <strong>body shop safe and VOC compliant</strong>, making it suitable for use in professional refinishing environments while meeting industry safety standards.</p><p> </p><p>When correction matters, IMPRESSIVE delivers fast results, clean finishing, and consistent performance every time.</p><p> </p><p>32oz Barcode: 809555958244 , SKU: 7532</p>",RCP America,,Compounds,Compounds,TRUE,Size,1 Gallon,,,,,,,,75,2268,shopify,0,deny,manual,145.99,,TRUE,TRUE,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,active
microfiber-towel-cleaner,Microfiber Towel Cleaner,"<ul>
<li>Specifically formulated to clean microfiber towels thoroughly, removing dirt, grease, and residues</li>
<li>Preserves the vibrant colors and high absorbency of microfiber materials</li>
<li>Body shop safe, ensuring compatibility with automotive environments and detailing shops</li>
<li>Extends the lifespan of microfiber towels, reducing replacement costs</li>
<li>Safe for use on all types of microfiber cleaning cloths and towels</li>
<li>Helps maintain optimal performance for polishing, cleaning, and detailing tasks</li>
<li>Easy to use—simply soak or wash microfiber towels with the cleaner for best results</li>
<li>Environmentally friendly formulation that is gentle yet effective</li>
<li>Suitable for both commercial and personal detailing applications</li>
</ul>
<p> </p>
<p>1g Barcode:     , SKU: 1701<img></p>
<p>5g Barcode: 00001705 , SKU: 1705</p>",RCP America,Uncategorized,Cleaners /Detergents,Cleaners /Detergents,TRUE,Size,16oz,,,,,,,,1700-16,22680,shopify,0,deny,manual,7.99,,TRUE,TRUE,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,active
microfiber-towel-cleaner,,,,,,,,,32oz,,,,,,,,1700-32,22680,shopify,0,deny,manual,12.99,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,active
microfiber-towel-cleaner,,,,,,,,,1 Gallon,,,,,,,,-1701,22680,shopify,0,deny,manual,19.99,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,active
microfiber-towel-cleaner,,,,,,,,,30 Gallon,,,,,,,,1730,22680,shopify,0,deny,manual,296.99,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,active
